,publish_date,headline_text
0,20010101,win over cena satisfying but defeating undertaker bigger roman reigns
1,20010102,Status quo will not be disturbed at Ayodhya; says Vajpayee
2,20010102,Fissures in Hurriyat over Pak visit
3,20010102,America's unwanted heading for India?
4,20010102,For bigwigs; it is destination Goa
5,20010102,Extra buses to clear tourist traffic
6,20010102,Dilute the power of transfers; says Riberio
7,20010102,Focus shifts to teaching of Hindi
8,20010102,IT will become compulsory in schools
9,20010102,Move to stop freedom fighters' pension flayed
10,20010102,Gilani claims he applied for passport 2 years ago
11,20010102,Parivar dismisses PM's warning
12,20010102,India; Pak exchange lists of N-plants
13,20010102,Will Qureshi's return really help the govt?
14,20010102,PM's tacit message: Put Ram tample on hold
15,20010102,Text of the Prime Minister's article
16,20010102,NCW to focus on violence against women
17,20010102,BBC's reality TV will focus on AIIMS
18,20010102,Jaitley firm on legal reforms
19,20010102,Hoshangabad farmers have enough water
20,20010102,BJP jumps into rail track conversion issue
21,20010102,America's unwanted heading for India?
22,20010102,State may take AP to court over Krishna
23,20010102,This official has sued the briber
24,20010102,Park turns temple compound as residents watch
25,20010102,Moves afoot to evict squatters in Urban dist
26,20010102,Mafia calls the shots in Gandhinagar too
27,20010102,Status quo will not be disturbed at Ayodhya; says Vajpayee
28,20010102,Fissures in Hurriyat over Pak visit
29,20010102,America's unwanted heading for India?
30,20010102,For bigwigs; it is destination Goa
31,20010102,Extra buses to clear tourist traffic
32,20010102,Dilute the power of transfers; says Riberio
33,20010102,Focus shifts to teaching of Hindi
34,20010102,IT will become compulsory in schools
35,20010102,Move to stop freedom fighters' pension flayed
36,20010102,Gilani claims he applied for passport 2 years ago
37,20010102,Parivar dismisses PM's warning
38,20010102,India; Pak exchange lists of N-plants
39,20010102,Will Qureshi's return really help the govt?
40,20010102,PM's tacit message: Put Ram tample on hold
41,20010102,Text of the Prime Minister's article
42,20010102,NCW to focus on violence against women
43,20010102,BBC's reality TV will focus on AIIMS
44,20010102,Jaitley firm on legal reforms
45,20010102,Hoshangabad farmers have enough water
46,20010102,BJP jumps into rail track conversion issue
47,20010102,America's unwanted heading for India?
48,20010102,State may take AP to court over Krishna
49,20010102,This official has sued the briber
50,20010102,Park turns temple compound as residents watch
51,20010102,Moves afoot to evict squatters in Urban dist
52,20010102,Mafia calls the shots in Gandhinagar too
53,20010102,Come to Nandi Hills...and you can fly
54,20010102,HAL approached for super jumbo project
55,20010102,Nagathihalli returns with Preethiya Hudugi
56,20010102,Fashion in the future
57,20010102,Promises to keep
58,20010102,Home is where the holistic science is
59,20010102,A noisy effort to spruce up Commercial Street
60,20010102,The best music of the year
61,20010102,Redemption night; amid some rock
62,20010102,Consul is back from month-long leave
63,20010102,Bomb hoax triggers panic in Canara Bank
64,20010102,Petition over ministers' assets dismissed
65,20010102,He beat polio; but a truck driver's is no life
66,20010102,Destroying myths and doubts on sexuality
67,20010102,Planning Dept seeks Rs 350 crore more
68,20010102,More engg colleges if needed in state: Govt
69,20010102,Auto driver's murder: 4 held
70,20010102,Meet held on cashew crop forecasting
71,20010102,Awareness rally on AIDS today
72,20010102,Record power generation at RTPS
73,20010102,Move to stop freedom fighters' pension flayed
74,20010102,Snags delay digital maps of city
75,20010102,Making education a people's movement
76,20010102,Murder spoils 2001 party in Dharwad
77,20010102,Now a website on a seer
78,20010102,Akki-Alur and Ranebennur peaceful
79,20010102,Weekly editor resorts to hunger strike
80,20010102,Bickering cost Dal(S) seats; admits Gowda
81,20010102,BJP to block traffic statewide on Jan 6
82,20010102,Dr Patwardhan to be felicitated
83,20010102,Lingambudhi will be turned into bird sanctuary
84,20010102,Cactus which made it to Guinness is dying
85,20010102,VIPs suffer as power supply is stopped to govt guest houses
86,20010102,Raju Chacha
87,20010103,Powerless north India gropes in the dark
88,20010103,Think again; Laxman tells Sangh Parivar
89,20010103,Hurriyat undecided over team to Pakistan
90,20010103,Vajpayee wants to put reforms on fast track
91,20010103,Stephen Hawking keeps date with Mumbai
92,20010103,Anti-Hrithik or anti-hopelessness
93,20010103,Govt plans stadium near Panaji
94,20010103,BJP doing a volte face on casinos: Cong
95,20010103,3 watershed projects on the anvil
96,20010103,No report yet on fire in Udyog Bhavan
97,20010103,He is the king of 'five star' industry
98,20010103,Petrol pump sealed for selling adulterated fuel
99,20010103,Milk price up by Rs 1 per litre
